10
i,0,0,0
i,1,25,0
i,2,50,0
i,3,125,0
i,4,150,0
i,5,175,0
i,6,0,25
i,7,75,25
i,8,100,25
i,9,125,50
i,10,0,75
i,11,50,75
i,12,100,75
i,13,125,75
i,14,175,75
i,15,25,100
i,16,50,100
i,17,75,100
i,18,100,100
i,19,125,100
i,20,0,125
i,21,125,125
i,22,150,125
i,23,0,150
i,24,50,150
i,25,75,150
i,26,100,150
i,27,125,150
i,28,150,150
i,29,175,150
i,30,25,175
i,31,50,175
i,32,75,175
i,33,100,175
i,34,125,175
i,35,150,175
c,338,5,29,3,*
c,339,17,3,5,*
c,340,5,1,6,*
c,341,4,0,6,*
c,342,30,34,2,*
c,343,6,33,7,*
c,344,30,13,8,*
c,345,4,13,3,*
c,346,15,18,7,*
c,347,32,14,4,*
c,348,4,28,0,*
c,349,19,14,1,*
c,350,20,26,4,*
c,351,20,12,1,*
c,352,16,25,6,*
c,353,35,16,8,*
c,354,15,24,5,*
c,355,31,14,2,*
c,356,17,11,6,*
c,357,9,2,4,*
c,358,11,12,0,*
c,359,7,3,0,*
c,360,18,34,6,*
c,361,0,7,0,*
c,362,27,0,9,*
c,363,3,7,3,*
c,364,17,25,5,*
c,365,12,5,4,*
c,366,20,26,7,*
c,367,19,2,9,*
c,368,0,33,9,*
c,369,4,30,4,*
c,370,7,17,1,*
c,371,17,9,5,*
c,372,1,26,6,*
c,373,29,8,5,*
c,374,29,12,1,*
c,375,16,34,6,*
c,376,3,1,7,*
c,377,11,10,3,*
c,378,17,12,8,*
c,379,34,21,7,*
c,380,32,3,5,*
c,381,25,34,9,*
c,382,8,23,1,*
c,383,17,20,6,*
c,384,20,14,4,*
c,385,17,31,7,*
c,386,22,30,1,*
c,387,2,27,4,*
c,388,24,19,2,*
c,389,6,17,2,*
c,390,29,7,4,*
c,391,8,24,3,*
c,392,19,23,1,*
c,393,4,29,6,*
c,394,11,16,4,*
c,395,8,34,3,*
c,396,14,30,0,*
c,397,22,27,5,*
c,398,12,17,0,*
c,399,30,14,2,*
c,400,2,30,5,*
c,401,2,34,1,*
c,402,9,32,9,*
c,403,27,16,2,*
c,404,19,33,9,*
c,405,14,29,1,*
c,406,17,4,7,*
c,407,17,20,9,*
c,408,12,11,1,*
c,409,6,28,8,*
c,410,30,23,5,*
c,411,29,28,7,*
c,412,29,2,1,*
c,413,30,20,6,*
c,414,1,34,1,*
c,415,32,6,1,*
c,416,27,35,4,*
c,417,6,33,0,*
c,418,18,24,3,*
c,419,3,10,1,*
c,420,11,16,4,*
c,421,5,25,3,*
c,422,27,35,6,*
c,423,19,24,1,*
c,424,20,2,3,*
c,425,13,12,6,*
c,426,23,24,5,*
c,427,4,23,4,*
c,428,30,3,1,*
c,429,35,22,1,*
c,430,27,11,2,*
c,431,25,10,8,*
c,432,22,17,4,*
c,433,24,26,9,*
c,434,17,5,2,*
c,435,16,29,9,*
c,436,17,10,2,*
c,437,2,13,7,*
c,438,6,31,1,*
c,439,1,28,4,*
c,440,17,16,8,*
c,441,30,28,0,*
c,442,13,1,3,*
c,443,19,7,9,*
c,444,2,0,9,*
c,445,35,27,1,*
c,446,35,27,3,*
c,447,5,25,2,*
c,448,20,5,7,*
c,449,25,8,3,*
c,450,31,19,4,*
c,451,14,4,4,*
c,452,30,33,7,*
c,453,25,9,9,*
c,454,19,10,9,*
c,455,25,34,1,*
c,456,19,29,5,*
c,457,3,21,1,*
c,458,33,34,5,*
c,459,31,2,9,*
c,460,5,12,2,*
c,461,11,18,2,*
c,462,16,32,1,*
c,463,0,6,1,*
c,464,15,13,6,*
c,465,19,12,0,*
c,466,1,0,3,*
c,467,5,20,2,*
c,468,18,23,9,*
c,469,1,6,2,*
c,470,11,24,3,*
c,471,32,3,3,*
c,472,24,5,2,*
c,473,12,17,2,*
c,474,35,6,4,*
c,475,4,10,7,*
c,476,35,12,4,*
c,477,4,9,6,*
c,478,4,11,2,*
c,479,15,20,0,*
c,480,17,6,7,*
c,481,9,11,4,*
c,482,3,26,8,*
c,483,17,5,4,*
c,484,2,28,3,*
c,485,18,2,1,*
c,486,29,31,9,*
c,487,26,34,7,*
c,488,17,1,4,*
c,489,24,14,2,*
c,490,11,15,2,*
c,491,28,15,5,*
c,492,27,25,6,*
c,493,31,35,2,*
c,494,0,31,2,*
c,495,3,23,0,*
c,496,33,22,8,*
c,497,11,17,2,*
c,498,16,8,4,*
c,499,21,3,8,*
c,500,10,25,1,*
c,501,11,25,7,*
c,502,5,27,0,*
c,503,23,32,8,*
c,504,10,4,8,*
c,505,7,24,3,*
c,506,14,3,2,*
c,507,10,19,4,*
c,508,34,29,2,*
c,509,32,4,2,*
c,510,3,2,0,*
c,511,3,22,9,*
c,512,27,33,9,*
c,513,25,18,2,*
c,514,11,33,8,*
c,515,4,6,4,*
c,516,4,23,8,*
c,517,27,3,0,*
c,518,1,27,1,*
c,519,25,10,9,*
c,520,25,14,8,*
c,521,35,14,3,*
c,522,19,11,3,*
c,523,0,33,3,*
c,524,33,22,1,*
c,525,19,32,8,*
c,526,31,26,0,*
c,527,19,27,6,*
c,528,24,31,0,*
c,529,4,13,6,*
c,530,34,16,7,*
c,531,29,33,3,*
c,532,33,6,4,*
c,533,9,26,6,*
c,534,1,12,0,*
c,535,29,2,9,*
c,536,31,10,7,*
c,537,27,25,4,*
c,538,3,35,9,*
c,539,3,9,8,*
c,540,0,19,6,*
c,541,26,20,4,*
c,542,19,16,6,*
c,543,22,35,9,*
c,544,34,19,8,*
c,545,17,13,3,*
c,546,3,31,6,*
c,547,16,5,2,*
c,548,25,26,3,*
c,549,15,11,1,*
c,550,34,27,8,*
c,551,10,23,8,*
c,552,27,4,1,*
c,553,4,27,2,*
c,554,16,22,6,*
c,555,22,32,0,*
c,556,5,4,1,*
c,557,15,18,4,*
c,558,7,35,5,*
c,559,10,24,2,*
c,560,25,6,5,*
c,561,5,32,5,*
c,562,23,30,9,*
c,563,30,8,0,*
c,564,17,32,2,*
c,565,5,7,6,*
c,566,27,34,6,*
c,567,15,0,3,*
c,568,9,32,5,*
c,569,0,7,8,*
c,570,29,22,1,*
c,571,32,27,6,*
c,572,5,12,3,*
c,573,23,24,1,*
c,574,24,14,1,*
c,575,1,18,3,*
c,576,0,28,4,*
c,577,0,2,5,*
c,578,5,23,4,*
c,579,11,1,9,*
c,580,25,8,9,*
c,581,17,22,8,*
c,582,16,18,4,*
c,583,13,1,4,*
c,584,27,20,4,*
c,585,0,12,7,*
c,586,2,19,3,*
c,587,31,17,1,*
c,588,16,32,7,*
c,589,6,30,3,*
c,590,14,24,1,*
c,591,20,10,4,*
c,592,15,3,7,*
c,593,33,27,2,*
c,594,22,3,1,*
c,595,18,30,0,*
c,596,17,18,3,*
c,597,30,23,0,*
c,598,20,34,4,*
c,599,24,31,6,*
c,600,0,1,4,*
c,601,6,34,0,*
c,602,25,34,7,*
c,603,28,24,8,*
c,604,2,24,8,*
c,605,32,13,6,*
c,606,28,31,0,*
c,607,8,6,6,*
c,608,14,25,2,*
c,609,20,17,9,*
c,610,26,32,4,*
c,611,2,6,9,*
c,612,25,20,4,*
c,613,17,30,4,*
c,614,34,11,4,*
c,615,33,25,8,*
c,616,25,22,0,*
c,617,29,19,5,*
c,618,13,7,9,*
c,619,1,29,8,*
c,620,29,35,0,*
c,621,33,6,5,*
c,622,18,35,5,*
c,623,20,35,0,*
c,624,17,35,4,*
c,625,12,15,4,*
c,626,33,34,5,*
c,627,9,33,2,*
c,628,21,33,7,*
c,629,10,7,3,*
c,630,22,17,7,*
c,631,9,15,9,*
c,632,4,15,3,*
c,633,13,1,6,*
c,634,28,3,1,*
c,635,30,20,9,*
c,636,15,21,5,*
c,637,27,24,3,*
c,638,6,32,2,*
c,639,24,7,4,*
c,640,3,29,8,*
c,641,25,12,3,*
c,642,9,25,6,*
c,643,17,24,1,*
c,644,9,14,3,*
c,645,8,19,1,*
c,646,1,0,2,*
c,647,15,35,0,*
c,648,21,29,7,*
c,649,22,21,0,*
c,650,7,30,9,*
c,651,3,26,7,*
c,652,11,15,4,*
c,653,28,15,6,*
c,654,25,0,3,*
c,655,23,5,0,*
c,656,3,25,5,*
c,657,20,3,1,*
c,658,18,19,5,*
c,659,8,2,4,*
c,660,32,27,2,*
c,661,7,15,2,*
c,662,0,23,0,*
c,663,3,17,1,*
c,664,6,26,4,*
c,665,30,23,2,*
c,666,33,2,3,*
c,667,19,27,9,*
c,668,11,12,1,*
c,669,35,24,4,*
c,670,18,11,5,*
c,671,22,28,3,*
c,672,2,23,1,*
c,673,9,19,9,*
c,674,17,21,2,*
c,675,1,17,3,*
c,676,33,10,6,*
c,677,23,15,3,*
c,678,23,29,2,*
c,679,22,27,4,*
c,680,9,32,2,*
c,681,11,28,6,*
c,682,23,3,1,*
c,683,21,13,2,*
c,684,16,1,0,*
c,685,23,2,7,*
c,686,33,18,7,*
c,687,20,12,0,*
c,688,16,35,2,*
c,689,28,6,7,*
c,690,24,20,7,*
c,691,9,21,5,*
c,692,14,26,7,*
c,693,15,32,1,*
c,694,35,1,1,*
c,695,14,28,2,*
c,696,3,31,2,*
c,697,1,6,9,*
c,698,2,1,5,*
c,699,6,25,0,*
c,700,2,10,1,*
c,701,21,28,7,*
c,702,6,0,4,*
c,703,11,5,9,*
c,704,7,4,1,*
c,705,12,25,0,*
c,706,7,29,7,*
c,707,33,30,6,*
c,708,29,3,6,*
c,709,16,18,0,*
c,710,6,15,2,*
c,711,3,18,9,*
c,712,10,1,7,*
c,713,22,8,8,*
c,714,21,29,6,*
c,715,5,13,6,*
c,716,12,10,7,*
c,717,19,20,9,*
c,718,11,12,5,*
c,719,23,6,5,*
c,720,6,35,7,*
c,721,25,31,8,*
c,722,23,7,7,*
c,723,4,31,9,*
c,724,24,35,9,*
c,725,17,19,5,*
c,726,23,4,2,*
c,727,13,4,1,*
c,728,12,5,0,*
c,729,6,5,3,*
c,730,23,11,8,*
c,731,15,0,9,*
c,732,5,32,3,*
c,733,32,16,9,*
c,734,30,10,9,*
c,735,0,20,1,*
c,736,32,15,5,*
c,737,2,6,9,*
c,738,24,11,7,*
c,739,30,32,8,*
c,740,31,11,3,*
c,741,15,4,7,*
c,742,17,19,3,*
c,743,26,1,8,*
c,744,24,18,3,*
c,745,21,12,1,*
c,746,29,33,1,*
c,747,17,5,5,*
c,748,2,5,9,*
c,749,0,29,5,*
c,750,30,33,3,*
c,751,25,6,3,*
c,752,34,17,5,*
c,753,18,29,0,*
c,754,7,15,5,*
c,755,19,27,5,*
c,756,3,18,2,*
c,757,14,13,1,*
c,758,32,2,3,*
c,759,34,20,4,*
c,760,28,33,8,*
c,761,4,24,9,*
c,762,24,31,8,*
c,763,30,1,7,*
c,764,19,4,5,*
c,765,21,3,0,*
c,766,4,27,1,*
c,767,6,26,6,*
c,768,15,0,8,*
c,769,11,16,4,*
c,770,0,9,0,*
c,771,27,25,5,*
c,772,11,31,2,*
c,773,20,22,7,*
c,774,24,26,2,*
c,775,25,23,7,*
c,776,1,32,5,*
c,777,3,35,1,*
c,778,27,25,7,*
c,779,17,32,9,*
c,780,18,1,3,*
c,781,4,10,7,*
c,782,15,32,3,*
c,783,15,2,7,*
c,784,0,28,5,*
c,785,18,29,3,*
c,786,5,17,1,*
c,787,29,8,8,*
c,788,34,22,7,*
c,789,20,32,8,*
c,790,14,23,9,*
c,791,33,9,4,*
c,792,33,29,0,*
c,793,15,32,0,*
c,794,28,6,5,*
c,795,6,11,2,*
c,796,24,28,8,*
c,797,29,6,3,*
c,798,2,16,8,*
c,799,32,4,9,*
c,800,13,28,1,*
c,801,30,32,9,*
c,802,22,32,1,*
c,803,19,9,3,*
c,804,22,15,7,*
c,805,3,19,0,*
c,806,25,24,6,*
c,807,33,12,7,*
c,808,9,13,5,*
c,809,6,33,3,*
c,810,25,23,8,*
c,811,35,17,1,*
c,812,4,8,2,*
c,813,16,7,9,*
c,814,29,33,8,*
c,815,28,11,5,*
c,816,5,24,6,*
c,817,8,33,2,*
c,818,17,16,6,*
c,819,13,26,8,*
c,820,3,35,7,*
c,821,10,21,0,*
c,822,23,19,6,*
c,823,29,4,4,*
c,824,33,2,7,*
c,825,5,29,2,*
c,826,26,25,3,*
c,827,9,8,6,*
c,828,4,0,9,*
c,829,14,30,1,*
c,830,7,18,5,*
c,831,19,2,1,*
c,832,25,3,7,*
c,833,34,22,6,*
c,834,10,30,6,*
c,835,11,12,4,*
c,836,11,22,3,*
c,837,25,14,1,*
c,838,0,25,3,*
c,839,26,1,1,*
c,840,34,29,1,*
c,841,0,24,6,*
c,842,16,10,8,*
c,843,25,0,6,*
c,844,34,1,0,*
c,845,27,10,4,*
c,846,22,26,2,*
c,847,9,18,8,*
c,848,1,34,6,*
c,849,1,33,1,*
c,850,33,32,4,*
c,851,18,0,2,*
c,852,22,17,0,*
c,853,14,19,7,*
c,854,35,15,8,*
c,855,7,31,0,*
c,856,16,2,7,*
c,857,9,29,9,*
c,858,34,14,2,*
c,859,6,2,8,*
c,860,22,15,2,*
c,861,28,3,6,*
c,862,17,11,4,*
c,863,18,22,6,*
c,864,1,13,8,*
c,865,2,13,0,*
c,866,30,9,8,*
c,867,35,24,4,*
c,868,20,35,0,*
c,869,32,33,4,*
c,870,27,33,6,*
c,871,2,20,4,*
c,872,16,29,5,*
c,873,12,30,3,*
c,874,9,28,2,*
c,875,11,18,3,*
c,876,15,1,5,*
c,877,35,1,7,*
c,878,0,20,9,*
c,879,15,34,8,*
c,880,3,2,1,*
c,881,9,25,6,*
c,882,30,21,0,*
c,883,26,10,3,*
c,884,12,23,1,*
c,885,11,5,7,*
c,886,8,7,4,*
c,887,18,16,7,*
c,888,7,20,8,*
c,889,25,17,2,*
c,890,14,22,2,*
c,891,23,7,1,*
c,892,28,1,0,*
c,893,26,13,8,*
c,894,13,24,3,*
c,895,5,11,2,*
c,896,13,7,7,*
c,897,27,20,6,*
c,898,28,25,2,*
c,899,6,5,0,*
c,900,25,13,0,*
c,901,17,0,8,*
c,902,7,13,3,*
c,903,13,25,5,*
c,904,13,15,7,*
c,905,10,34,2,*
c,906,2,1,7,*
c,907,28,14,5,*
c,908,35,15,0,*
c,909,20,17,4,*
c,910,35,32,1,*
c,911,6,5,5,*
c,912,16,33,9,*
c,913,18,0,1,*
c,914,15,27,7,*
c,915,25,28,5,*
c,916,30,11,6,*
c,917,25,9,1,*
c,918,5,21,2,*
c,919,27,26,2,*
c,920,26,19,1,*
c,921,7,28,1,*
c,922,2,23,9,*
c,923,23,15,7,*
c,924,3,18,4,*
c,925,24,29,3,*
c,926,25,5,3,*
c,927,26,23,8,*
c,928,17,34,6,*
c,929,19,12,8,*
c,930,26,0,6,*
c,931,8,2,0,*
c,932,27,9,4,*
c,933,8,11,1,*
c,934,30,12,1,*
c,935,19,9,5,*
c,936,3,24,2,*
c,937,22,34,5,*
c,938,32,4,0,*
c,939,27,3,5,*
c,940,22,9,1,*
c,941,25,20,3,*
c,942,32,10,2,*
c,943,20,19,9,*
c,944,2,9,2,*
c,945,28,12,8,*
c,946,9,4,6,*
c,947,5,0,9,*
c,948,27,33,6,*
c,949,5,0,6,*
c,950,24,25,7,*
c,951,23,4,8,*
c,952,11,22,8,*
c,953,35,20,1,*
c,954,11,13,8,*
c,955,9,22,9,*
